ppm,exposure_time_min,replicate,R_demo,G_demo,B_demo,H_demo,S_demo,V_demo,L_demo,a_demo,b_demo,DeltaE_demo
1.6,0,0,89.92,153.49,127.97,77.52,105.62,153.49,149.0,101.0,135.0,4.36
1.6,0,1,90.78,149.25,131.86,80.63,99.9,149.25,146.0,104.0,131.0,2.24
1.6,0,2,92.84,147.98,134.17,82.03,95.02,147.98,145.0,107.0,129.0,5.2
1.6,1,0,88.3,136.85,118.27,78.08,90.46,136.85,135.0,107.0,133.0,13.38
1.6,1,1,88.08,141.86,123.83,79.5,96.68,141.86,139.0,106.0,132.0,9.22
1.6,1,2,88.03,143.2,126.99,80.73,98.24,143.2,141.0,106.0,131.0,7.35
1.6,2,0,82.67,134.4,116.59,79.23,98.15,134.4,133.0,106.0,132.0,15.13
1.6,2,1,86.87,141.65,118.58,76.93,98.62,141.65,139.0,104.0,134.0,9.22
1.6,2,2,78.5,132.81,117.37,81.02,104.27,132.81,131.0,106.0,130.0,17.23
1.6,5,0,80.98,129.37,113.2,79.53,95.39,129.37,128.0,108.0,132.0,20.4
1.6,5,1,81.71,133.75,111.06,76.49,99.2,133.75,131.0,105.0,134.0,17.15
1.6,5,2,80.06,132.04,108.48,75.98,100.38,132.04,130.0,105.0,136.0,18.47
1.6,10,0,81.13,125.04,107.2,77.38,89.55,125.04,125.0,109.0,133.0,23.56
1.6,10,1,84.72,122.86,113.83,82.43,79.16,122.86,123.0,113.0,129.0,26.74
1.6,10,2,79.28,120.9,107.86,80.15,87.78,120.9,120.0,110.0,131.0,28.65
1.6,15,0,75.17,119.08,105.69,80.4,94.02,119.08,119.0,110.0,131.0,29.63
1.6,15,1,80.07,119.47,107.46,80.41,84.09,119.47,120.0,112.0,130.0,29.19
1.6,15,2,81.87,125.64,106.08,76.17,88.83,125.64,125.0,108.0,134.0,23.43
1.6,30,0,79.93,110.09,98.35,77.89,69.87,110.09,112.0,114.0,131.0,37.38
1.6,30,1,73.23,116.09,97.59,76.62,94.14,116.09,116.0,108.0,134.0,32.31
1.6,30,2,75.34,121.38,98.8,74.87,96.73,121.38,120.0,107.0,136.0,28.44
1.6,45,0,75.65,111.92,96.65,76.93,82.64,111.92,112.0,112.0,132.0,36.88
1.6,45,1,74.43,113.96,99.91,78.9,88.47,113.96,114.0,111.0,131.0,34.73
1.6,45,2,79.35,113.55,98.19,76.1,76.8,113.55,114.0,112.0,132.0,34.93
1.6,60,0,69.98,110.23,97.27,79.89,93.11,110.23,110.0,110.0,131.0,38.48
1.6,60,1,76.03,111.13,97.1,77.58,80.53,111.13,112.0,112.0,132.0,36.88
1.6,60,2,74.91,114.09,95.31,75.2,87.58,114.09,114.0,109.0,134.0,34.42
1.6,90,0,71.05,108.62,82.98,69.14,88.21,108.62,108.0,109.0,139.0,40.91
1.6,90,1,73.26,96.66,86.6,76.67,61.74,96.66,99.0,117.0,131.0,50.71
1.6,90,2,73.47,109.04,88.29,72.09,83.19,109.04,109.0,110.0,136.0,39.66
1.6,120,0,69.08,109.76,88.5,73.91,94.52,109.76,109.0,109.0,135.0,39.43
1.6,120,1,77.94,105.64,91.18,73.92,66.86,105.64,107.0,114.0,133.0,42.21
1.6,120,2,76.06,106.04,86.95,70.5,72.09,106.04,107.0,112.0,136.0,41.96
1.6,180,0,69.67,102.89,83.41,72.0,82.34,102.89,103.0,112.0,135.0,45.8
1.6,180,1,69.23,100.77,90.27,79.57,79.81,100.77,102.0,114.0,130.0,47.12
1.6,180,2,70.1,102.15,87.18,75.56,80.0,102.15,103.0,113.0,133.0,45.9
1.6,240,0,69.85,103.05,82.83,71.34,82.17,103.05,103.0,111.0,136.0,45.72
1.6,240,1,66.05,104.52,84.6,74.05,93.85,104.52,104.0,110.0,135.0,44.51
1.6,240,2,64.93,102.53,87.22,77.35,93.53,102.53,102.0,111.0,132.0,46.53
1.6,300,0,63.97,100.54,86.79,78.28,92.77,100.54,100.0,111.0,132.0,48.51
1.6,300,1,69.68,101.75,80.37,69.61,80.37,101.75,102.0,111.0,136.0,46.7
1.6,300,2,69.55,98.95,83.13,73.45,75.76,98.95,99.0,114.0,133.0,50.02
1.6,360,0,70.68,103.22,88.97,76.44,80.39,103.22,104.0,112.0,133.0,44.73
1.6,360,1,72.01,98.45,84.65,73.92,68.48,98.45,100.0,115.0,133.0,49.25
1.6,360,2,70.37,99.14,83.98,73.78,74.02,99.14,101.0,114.0,134.0,48.09
1.6,480,0,69.78,96.96,79.88,70.75,71.47,96.96,97.0,114.0,134.0,52.01
1.6,480,1,66.07,99.04,82.07,74.15,84.89,99.04,100.0,112.0,134.0,48.7
1.6,480,2,68.33,99.15,80.94,71.87,79.25,99.15,100.0,112.0,135.0,48.75
1.7,0,0,94.27,152.14,128.3,77.21,96.99,152.14,149.0,103.0,135.0,3.32
1.7,0,1,96.33,149.5,127.03,76.9,90.69,149.5,147.0,106.0,134.0,3.0
1.7,0,2,88.86,147.94,132.16,81.53,101.82,147.94,145.0,105.0,130.0,3.74
1.7,1,0,87.06,141.01,125.54,80.94,97.56,141.01,139.0,106.0,131.0,9.27
1.7,1,1,88.9,142.97,124.91,79.53,96.43,142.97,140.0,106.0,132.0,8.25
1.7,1,2,89.73,135.7,122.58,80.99,86.38,135.7,135.0,109.0,130.0,14.07
1.7,2,0,79.12,137.27,119.16,80.21,108.03,137.27,135.0,105.0,132.0,13.04
1.7,2,1,88.79,140.73,119.78,77.47,94.1,140.73,138.0,106.0,134.0,10.39
1.7,2,2,84.16,138.62,117.59,77.98,100.19,138.62,136.0,105.0,134.0,12.21
1.7,5,0,82.13,132.44,110.37,76.42,96.86,132.44,131.0,106.0,135.0,17.38
1.7,5,1,84.55,131.51,109.18,75.31,91.05,131.51,130.0,107.0,135.0,18.49
1.7,5,2,85.06,131.57,112.35,77.17,90.15,131.57,130.0,108.0,133.0,18.47
1.7,10,0,77.04,120.77,104.75,78.57,92.34,120.77,120.0,109.0,132.0,28.44
1.7,10,1,80.96,120.48,107.68,79.84,83.66,120.48,120.0,111.0,131.0,28.88
1.7,10,2,75.6,122.74,106.7,79.35,97.93,122.74,121.0,108.0,132.0,27.29
1.7,15,0,85.04,115.68,107.51,81.54,67.54,115.68,117.0,115.0,129.0,33.03
1.7,15,1,78.16,121.05,103.45,77.26,90.36,121.05,121.0,109.0,133.0,27.48
1.7,15,2,79.04,119.36,107.45,80.69,86.13,119.36,120.0,111.0,130.0,28.93
1.7,30,0,73.68,117.42,95.78,74.74,94.98,117.42,116.0,108.0,135.0,32.39
1.7,30,1,74.87,110.8,99.08,79.77,82.7,110.8,111.0,113.0,130.0,38.13
1.7,30,2,79.39,113.79,97.13,75.05,77.09,113.79,114.0,112.0,133.0,34.94
1.7,45,0,70.24,110.12,89.96,74.42,92.36,110.12,110.0,109.0,135.0,38.44
1.7,45,1,70.84,111.49,98.7,80.11,92.97,111.49,111.0,110.0,131.0,37.5
1.7,45,2,82.01,109.05,99.05,78.46,63.24,109.05,112.0,116.0,130.0,38.0
1.7,60,0,73.31,108.17,94.01,77.38,82.18,108.17,109.0,112.0,132.0,39.81
1.7,60,1,72.76,108.95,91.49,75.1,84.7,108.95,109.0,111.0,133.0,39.64
1.7,60,2,68.38,103.99,94.67,81.69,87.32,103.99,104.0,113.0,129.0,45.01
1.7,90,0,70.39,103.88,90.0,77.13,82.2,103.88,104.0,113.0,132.0,44.91
1.7,90,1,73.61,106.21,88.01,72.84,78.27,106.21,107.0,112.0,134.0,41.82
1.7,90,2,74.9,110.41,91.46,73.58,82.0,110.41,111.0,111.0,135.0,37.78
1.7,120,0,73.23,107.39,91.51,75.63,81.12,107.39,108.0,112.0,133.0,40.8
1.7,120,1,72.15,105.46,89.67,75.36,80.55,105.46,106.0,112.0,133.0,42.77
1.7,120,2,67.01,105.77,84.05,72.78,93.43,105.77,105.0,110.0,135.0,43.52
1.7,180,0,66.68,104.88,88.13,76.42,92.86,104.88,104.0,110.0,133.0,44.42
1.7,180,1,73.53,100.15,82.16,69.34,67.78,100.15,102.0,114.0,135.0,47.17
1.7,180,2,68.35,101.27,85.85,75.53,82.91,101.27,102.0,112.0,133.0,46.7
1.7,240,0,71.63,98.05,84.98,74.73,68.72,98.05,100.0,115.0,133.0,49.25
1.7,240,1,65.26,100.49,83.93,75.47,89.39,100.49,101.0,111.0,134.0,47.56
1.7,240,2,65.98,98.43,83.37,75.65,84.07,98.43,99.0,112.0,133.0,49.66
1.7,300,0,66.79,103.08,82.36,72.46,89.77,103.08,103.0,110.0,136.0,45.57
1.7,300,1,66.87,91.48,79.97,75.55,68.59,91.48,93.0,116.0,132.0,56.29
1.7,300,2,66.81,95.71,86.8,80.3,76.99,95.71,97.0,115.0,130.0,52.21
1.7,360,0,66.61,100.55,81.83,73.04,86.07,100.55,101.0,111.0,135.0,47.61
1.7,360,1,67.22,96.42,81.65,74.42,77.23,96.42,97.0,114.0,133.0,51.98
1.7,360,2,72.26,89.72,75.64,65.44,49.63,89.72,92.0,118.0,134.0,57.76
1.7,480,0,64.71,95.07,82.17,76.83,81.41,95.07,96.0,114.0,132.0,52.95
1.7,480,1,67.76,93.87,83.16,77.26,70.92,93.87,95.0,116.0,131.0,54.35
1.7,480,2,69.43,95.57,82.99,75.14,69.74,95.57,97.0,115.0,132.0,52.17
1.8,0,0,92.82,149.32,134.09,81.46,96.49,149.32,147.0,106.0,130.0,3.0
1.8,0,1,92.33,151.0,136.42,82.08,99.08,151.0,149.0,105.0,130.0,2.45
1.8,0,2,84.65,146.75,128.44,80.7,107.91,146.75,143.0,104.0,131.0,5.1
1.8,1,0,86.57,140.76,118.69,77.35,98.17,140.76,138.0,105.0,134.0,10.25
1.8,1,1,84.7,138.94,130.58,84.9,99.55,138.94,137.0,108.0,127.0,12.73
1.8,1,2,93.06,140.28,122.12,78.03,85.84,140.28,139.0,108.0,133.0,9.9
1.8,2,0,81.87,130.69,118.13,81.82,95.26,130.69,129.0,108.0,129.0,19.65
1.8,2,1,82.32,136.16,113.68,77.04,100.83,136.16,134.0,104.0,135.0,14.32
1.8,2,2,83.03,136.86,119.58,79.92,100.3,136.86,135.0,106.0,132.0,13.15
1.8,5,0,82.88,124.41,113.59,81.72,85.12,124.41,124.0,111.0,129.0,25.18
1.8,5,1,79.23,130.27,110.99,78.23,99.91,130.27,129.0,106.0,133.0,19.13
1.8,5,2,77.5,127.43,112.12,80.35,99.91,127.43,126.0,107.0,131.0,22.23
1.8,10,0,80.55,121.58,109.71,80.87,86.06,121.58,121.0,111.0,130.0,27.96
1.8,10,1,81.73,121.23,107.36,79.03,83.08,121.23,121.0,111.0,131.0,27.91
1.8,10,2,84.51,127.88,101.43,71.31,86.48,127.88,126.0,107.0,137.0,22.76
1.8,15,0,74.25,122.79,98.54,74.6,100.81,122.79,121.0,106.0,136.0,27.37
1.8,15,1,73.06,116.88,102.98,80.04,95.6,116.88,116.0,110.0,131.0,32.57
1.8,15,2,76.72,116.38,99.7,76.95,86.9,116.38,116.0,110.0,133.0,32.57
1.8,30,0,72.15,109.72,103.02,84.18,87.31,109.72,110.0,113.0,127.0,39.37
1.8,30,1,75.18,115.01,94.71,74.29,88.32,115.01,115.0,109.0,135.0,33.51
1.8,30,2,73.73,110.21,88.22,71.51,84.41,110.21,110.0,109.0,136.0,38.54
1.8,45,0,68.64,103.63,86.37,74.78,86.09,103.63,104.0,111.0,134.0,44.6
1.8,45,1,69.19,113.03,92.98,75.86,98.91,113.03,112.0,108.0,135.0,36.35
1.8,45,2,76.65,110.29,95.46,76.35,77.78,110.29,111.0,112.0,132.0,37.85
1.8,60,0,69.05,108.39,93.22,78.0,92.56,108.39,108.0,110.0,132.0,40.45
1.8,60,1,70.02,108.5,92.74,77.28,90.43,108.5,108.0,111.0,133.0,40.62
1.8,60,2,70.1,103.45,87.49,75.22,82.2,103.45,104.0,112.0,133.0,44.73
1.8,90,0,70.63,104.78,85.86,72.98,83.12,104.78,105.0,111.0,135.0,43.67
1.8,90,1,70.45,105.51,90.1,76.38,84.75,105.51,106.0,112.0,132.0,42.76
1.8,90,2,75.02,107.63,85.24,69.01,77.26,107.63,108.0,111.0,137.0,40.91
1.8,120,0,74.48,100.16,89.48,77.09,65.38,100.16,102.0,116.0,131.0,47.55
1.8,120,1,69.63,100.52,80.93,70.57,78.35,100.52,101.0,112.0,136.0,47.84
1.8,120,2,68.92,97.08,89.25,81.21,73.98,97.08,99.0,116.0,129.0,50.54
1.8,180,0,72.72,96.63,84.71,74.63,63.08,96.63,98.0,116.0,132.0,51.42
1.8,180,1,66.0,97.13,86.13,78.96,81.73,97.13,98.0,114.0,131.0,51.0
1.8,180,2,68.06,104.24,82.36,71.46,88.5,104.24,104.0,110.0,136.0,44.59
1.8,240,0,70.32,97.46,84.48,75.23,71.0,97.46,99.0,115.0,132.0,50.22
1.8,240,1,65.98,97.02,81.75,74.82,81.57,97.02,98.0,112.0,134.0,50.68
1.8,240,2,64.82,99.15,84.04,76.37,88.3,99.15,100.0,112.0,133.0,48.67
1.8,300,0,68.47,100.39,85.16,75.26,81.08,100.39,101.0,113.0,133.0,47.86
1.8,300,1,65.57,96.9,78.94,72.4,82.46,96.9,97.0,112.0,135.0,51.71
1.8,300,2,66.76,93.98,85.67,80.39,73.86,93.98,95.0,116.0,129.0,54.42
1.8,360,0,67.28,94.03,83.37,77.61,72.55,94.03,96.0,115.0,131.0,53.16
1.8,360,1,59.68,88.64,82.18,82.84,83.33,88.64,89.0,116.0,128.0,60.34
1.8,360,2,66.37,95.44,75.81,69.36,77.66,95.44,96.0,112.0,136.0,52.76
1.8,480,0,65.35,99.03,80.72,73.28,86.71,99.03,99.0,111.0,135.0,49.59
1.8,480,1,65.93,91.7,77.06,72.55,71.65,91.7,92.0,115.0,133.0,57.08
1.8,480,2,59.04,93.79,80.78,78.33,94.49,93.79,93.0,113.0,131.0,55.74
1.9,0,0,87.27,149.02,128.53,79.6,105.66,149.02,146.0,103.0,133.0,2.45
1.9,0,1,89.1,151.16,125.75,77.28,104.69,151.16,147.0,102.0,136.0,4.58
1.9,0,2,93.84,153.26,131.25,78.45,98.86,153.26,150.0,103.0,133.0,2.45
1.9,1,0,79.98,138.03,126.45,83.55,107.24,138.03,136.0,106.0,128.0,12.81
1.9,1,1,79.09,139.98,119.21,79.32,110.92,139.98,136.0,103.0,133.0,12.08
1.9,1,2,89.84,139.0,123.96,80.37,90.18,139.0,137.0,108.0,131.0,11.75
1.9,2,0,86.67,141.18,117.18,76.36,98.46,141.18,139.0,104.0,135.0,9.49
1.9,2,1,86.1,131.22,121.36,82.98,87.67,131.22,131.0,110.0,129.0,18.28
1.9,2,2,82.69,133.99,117.72,80.04,97.62,133.99,132.0,107.0,131.0,16.31
1.9,5,0,76.44,127.97,112.92,80.78,102.68,127.97,126.0,107.0,131.0,22.23
1.9,5,1,82.01,122.52,109.65,80.02,84.31,122.52,123.0,111.0,131.0,25.98
1.9,5,2,83.36,121.65,106.79,77.92,80.27,121.65,122.0,111.0,132.0,26.93
1.9,10,0,80.73,121.48,105.12,77.52,85.54,121.48,121.0,110.0,132.0,27.66
1.9,10,1,83.68,122.08,105.86,76.9,80.21,122.08,122.0,110.0,133.0,26.7
1.9,10,2,86.23,120.03,101.49,73.13,71.8,120.03,121.0,112.0,135.0,28.32
1.9,15,0,77.65,118.21,98.8,75.22,87.49,118.21,118.0,109.0,135.0,30.56
1.9,15,1,73.27,123.82,101.36,76.24,104.11,123.82,122.0,106.0,135.0,26.25
1.9,15,2,74.17,119.64,100.05,76.65,96.91,119.64,118.0,108.0,133.0,30.28
1.9,30,0,72.79,112.42,90.8,73.22,89.9,112.42,112.0,108.0,136.0,36.44
1.9,30,1,74.6,116.48,96.07,74.96,91.67,116.48,116.0,108.0,134.0,32.31
1.9,30,2,72.42,109.22,93.44,76.71,85.92,109.22,109.0,111.0,133.0,39.64
1.9,45,0,71.24,106.23,94.29,79.32,83.99,106.23,107.0,113.0,131.0,41.99
1.9,45,1,66.8,109.95,90.4,75.99,100.07,109.95,109.0,108.0,134.0,39.26
1.9,45,2,73.13,103.98,95.53,81.33,75.66,103.98,105.0,115.0,129.0,44.49
1.9,60,0,74.69,107.95,84.88,68.81,78.58,107.95,108.0,111.0,137.0,40.91
1.9,60,1,73.44,106.29,84.61,69.81,78.81,106.29,107.0,111.0,136.0,41.79
1.9,60,2,70.88,106.17,91.09,76.75,84.76,106.17,107.0,111.0,132.0,41.59
1.9,90,0,70.07,102.87,90.99,78.69,81.3,102.87,103.0,114.0,131.0,46.11
1.9,90,1,73.22,93.4,85.62,78.0,55.09,93.4,96.0,118.0,130.0,53.89
1.9,90,2,69.05,96.74,86.85,78.85,73.0,96.74,98.0,116.0,130.0,51.46
1.9,120,0,72.34,96.67,85.66,76.0,64.18,96.67,98.0,116.0,131.0,51.43
1.9,120,1,65.84,97.91,89.08,81.29,83.52,97.91,98.0,114.0,129.0,51.08
1.9,120,2,66.96,101.31,79.04,70.15,86.46,101.31,101.0,110.0,136.0,47.55
1.9,180,0,72.91,98.96,81.53,69.54,67.13,98.96,100.0,115.0,135.0,49.34
1.9,180,1,69.05,92.92,85.62,80.38,65.52,92.92,95.0,118.0,129.0,54.9
1.9,180,2,66.35,96.54,80.6,73.75,79.75,96.54,97.0,113.0,134.0,51.83
1.9,240,0,64.72,97.37,81.11,74.65,85.5,97.37,98.0,112.0,133.0,50.65
1.9,240,1,68.42,95.26,81.89,74.64,71.85,95.26,97.0,115.0,133.0,52.18
1.9,240,2,65.21,101.97,75.64,68.13,91.94,101.97,101.0,109.0,139.0,47.78
1.9,300,0,69.61,97.99,76.5,66.91,73.87,97.99,98.0,113.0,137.0,51.05
1.9,300,1,72.51,96.88,81.97,71.24,64.13,96.88,98.0,115.0,134.0,51.23
1.9,300,2,65.91,93.24,78.43,73.33,74.74,93.24,94.0,114.0,133.0,54.93
1.9,360,0,66.49,96.99,78.57,71.49,80.19,96.99,97.0,113.0,135.0,51.87
1.9,360,1,62.58,95.26,80.79,76.29,87.47,95.26,95.0,112.0,133.0,53.61
1.9,360,2,67.28,95.02,77.22,70.35,74.44,95.02,96.0,113.0,135.0,52.86
1.9,480,0,61.76,88.5,71.57,70.61,77.05,88.5,89.0,114.0,135.0,59.92
1.9,480,1,65.26,90.86,75.15,71.2,71.84,90.86,92.0,115.0,134.0,57.11
1.9,480,2,55.68,87.37,79.84,82.41,92.48,87.37,88.0,114.0,129.0,60.9
2.0,0,0,90.01,152.08,127.83,77.84,104.08,152.08,149.0,102.0,135.0,3.74
2.0,0,1,96.32,150.57,132.87,79.77,91.88,150.57,148.0,106.0,132.0,2.0
2.0,0,2,98.98,155.55,131.08,76.6,92.74,155.55,152.0,104.0,135.0,5.0
2.0,1,0,85.42,139.55,123.82,80.83,98.91,139.55,137.0,106.0,131.0,11.22
2.0,1,1,86.88,139.34,126.69,82.31,96.0,139.34,138.0,107.0,129.0,10.86
2.0,1,2,86.86,147.43,122.56,77.25,104.76,147.43,144.0,102.0,135.0,5.39
2.0,2,0,89.99,136.01,120.0,79.12,86.27,136.01,135.0,108.0,132.0,13.6
2.0,2,1,82.46,132.38,118.49,81.2,96.15,132.38,131.0,108.0,130.0,17.58
2.0,2,2,87.6,135.06,113.25,75.79,89.6,135.06,134.0,107.0,135.0,14.63
2.0,5,0,76.56,121.93,103.72,77.52,94.89,121.93,120.0,108.0,133.0,28.3
2.0,5,1,80.97,129.59,108.98,76.86,95.67,129.59,128.0,107.0,134.0,20.32
2.0,5,2,73.86,125.64,108.54,79.64,105.1,125.64,124.0,106.0,132.0,24.08
2.0,10,0,83.79,115.0,101.51,76.6,69.2,115.0,117.0,113.0,132.0,32.28
2.0,10,1,82.62,120.72,104.37,76.69,80.48,120.72,121.0,111.0,133.0,27.91
2.0,10,2,77.85,120.36,105.01,78.73,90.07,120.36,120.0,109.0,132.0,28.44
2.0,15,0,73.29,118.11,94.95,74.08,96.77,118.11,117.0,107.0,136.0,31.4
2.0,15,1,76.7,116.01,97.22,75.24,86.4,116.01,116.0,110.0,134.0,32.62
2.0,15,2,75.65,113.61,95.85,75.54,85.2,113.61,113.0,111.0,134.0,35.75
2.0,30,0,71.76,105.85,94.18,79.29,82.12,105.85,106.0,113.0,130.0,43.0
2.0,30,1,69.37,111.3,89.67,74.11,96.05,111.3,110.0,108.0,136.0,38.42
2.0,30,2,71.13,107.29,97.19,81.17,85.95,107.29,108.0,113.0,130.0,41.05
2.0,45,0,72.24,105.08,91.51,77.18,79.71,105.08,106.0,113.0,132.0,42.95
2.0,45,1,64.92,105.59,96.01,82.47,98.21,105.59,105.0,111.0,129.0,43.67
2.0,45,2,71.64,105.92,91.66,77.09,82.52,105.92,106.0,112.0,132.0,42.76
2.0,60,0,72.86,97.39,82.81,71.76,64.22,97.39,99.0,115.0,134.0,50.26
2.0,60,1,70.81,101.24,91.79,80.24,76.65,101.24,102.0,114.0,130.0,47.12
2.0,60,2,69.23,97.58,84.05,75.26,74.09,97.58,99.0,115.0,132.0,50.22
2.0,90,0,60.5,99.56,84.4,77.92,100.05,99.56,99.0,110.0,132.0,49.37
2.0,90,1,67.47,103.5,88.56,77.13,88.76,103.5,104.0,111.0,132.0,44.55
2.0,90,2,68.24,93.86,86.82,81.3,69.62,93.86,95.0,117.0,129.0,54.65
2.0,120,0,69.45,99.09,85.96,76.28,76.28,99.09,100.0,114.0,132.0,49.03
2.0,120,1,64.29,104.19,80.14,71.52,97.66,104.19,103.0,108.0,137.0,45.45
2.0,120,2,70.03,93.1,80.23,72.85,63.19,93.1,95.0,116.0,133.0,54.35
2.0,180,0,71.05,94.58,82.94,74.74,63.44,94.58,96.0,116.0,132.0,53.37
2.0,180,1,67.21,95.05,84.51,78.21,74.68,95.05,97.0,115.0,131.0,52.18
2.0,180,2,65.79,90.02,78.01,74.71,68.64,90.02,92.0,116.0,132.0,57.27
2.0,240,0,67.29,94.67,73.98,66.95,73.74,94.67,95.0,114.0,137.0,54.17
2.0,240,1,63.46,91.74,77.58,74.56,78.59,91.74,92.0,114.0,133.0,56.89
2.0,240,2,61.51,91.6,76.49,74.52,83.76,91.6,92.0,113.0,133.0,56.73
2.0,300,0,67.31,94.51,76.94,70.23,73.39,94.51,95.0,114.0,135.0,54.02
2.0,300,1,63.82,92.5,74.93,71.22,79.07,92.5,93.0,113.0,135.0,55.81
2.0,300,2,61.56,89.26,75.47,74.65,79.15,89.26,90.0,114.0,133.0,58.86
2.0,360,0,61.0,91.46,78.54,76.85,84.93,91.46,92.0,113.0,132.0,56.72
2.0,360,1,59.73,91.05,75.69,74.87,87.73,91.05,91.0,112.0,133.0,57.57
2.0,360,2,65.51,90.94,71.99,67.27,71.29,90.94,91.0,114.0,136.0,58.01
2.0,480,0,59.93,89.38,77.88,77.85,84.02,89.38,90.0,114.0,131.0,58.86
2.0,480,1,57.08,90.33,78.36,78.76,93.88,90.33,90.0,113.0,131.0,58.7
2.0,480,2,63.26,90.95,72.69,69.82,77.63,90.95,91.0,114.0,135.0,57.95
2.1,0,0,91.64,146.14,124.97,77.91,95.09,146.14,144.0,105.0,134.0,4.58
2.1,0,1,94.83,148.05,130.63,79.74,91.66,148.05,146.0,106.0,132.0,2.83
2.1,0,2,87.84,146.77,131.48,81.76,102.38,146.77,144.0,105.0,130.0,4.58
2.1,1,0,84.79,141.17,123.19,79.99,101.85,141.17,139.0,105.0,132.0,9.06
2.1,1,1,87.94,140.75,126.57,81.49,95.68,140.75,139.0,107.0,130.0,9.7
2.1,1,2,83.77,139.87,125.23,81.72,102.27,139.87,137.0,106.0,130.0,11.36
2.1,2,0,88.1,129.94,115.5,79.2,82.12,129.94,129.0,110.0,131.0,19.95
2.1,2,1,88.38,135.73,117.02,77.71,88.96,135.73,134.0,108.0,133.0,14.59
2.1,2,2,83.65,133.06,117.3,79.98,94.69,133.06,132.0,107.0,131.0,16.31
2.1,5,0,79.4,125.03,108.28,78.55,93.07,125.03,124.0,108.0,132.0,24.33
2.1,5,1,78.12,126.76,116.79,83.38,97.84,126.76,126.0,109.0,128.0,22.91
2.1,5,2,74.83,126.13,105.76,77.66,103.73,126.13,124.0,106.0,134.0,24.17
2.1,10,0,78.65,118.24,103.78,78.61,85.37,118.24,119.0,110.0,132.0,29.61
2.1,10,1,80.45,118.68,104.89,78.74,82.14,118.68,119.0,111.0,131.0,29.85
2.1,10,2,69.89,122.87,102.62,78.1,109.96,122.87,120.0,105.0,133.0,28.04
2.1,15,0,78.32,110.44,95.29,75.43,74.16,110.44,111.0,113.0,133.0,38.09
2.1,15,1,75.52,114.04,98.64,77.57,86.13,114.04,114.0,111.0,133.0,34.73
2.1,15,2,78.34,108.8,100.71,81.57,71.39,108.8,110.0,115.0,129.0,39.67
2.1,30,0,72.15,107.02,87.38,72.7,83.09,107.02,108.0,111.0,135.0,40.72
2.1,30,1,73.63,100.39,93.74,82.09,67.97,100.39,102.0,116.0,129.0,47.63
2.1,30,2,67.65,107.8,91.44,77.35,94.97,107.8,107.0,110.0,133.0,41.45
2.1,45,0,74.02,103.59,86.46,72.22,72.78,103.59,105.0,113.0,134.0,43.98
2.1,45,1,69.0,107.94,90.15,75.87,92.01,107.94,107.0,110.0,133.0,41.45
2.1,45,2,69.36,103.41,83.84,72.35,83.98,103.41,104.0,111.0,136.0,44.73
2.1,60,0,70.6,96.48,88.6,80.42,68.41,96.48,98.0,116.0,130.0,51.46
2.1,60,1,69.82,108.92,83.05,69.76,91.55,108.92,108.0,108.0,138.0,40.64
2.1,60,2,69.12,107.15,89.92,75.98,90.5,107.15,107.0,110.0,134.0,41.48
2.1,90,0,65.89,99.27,83.42,75.34,85.73,99.27,100.0,112.0,133.0,48.67
2.1,90,1,68.83,96.5,83.15,75.11,73.12,96.5,98.0,115.0,132.0,51.2
2.1,90,2,63.19,99.0,84.77,77.64,92.25,99.0,99.0,111.0,132.0,49.5
2.1,120,0,66.33,91.63,84.42,80.99,70.42,91.63,93.0,117.0,129.0,56.6
2.1,120,1,68.1,94.3,80.61,73.91,70.83,94.3,96.0,115.0,133.0,53.16
2.1,120,2,62.51,93.4,79.84,76.4,84.34,93.4,94.0,113.0,132.0,54.74
2.1,180,0,69.4,91.73,80.75,74.83,62.08,91.73,93.0,117.0,131.0,56.52
2.1,180,1,64.1,94.4,78.41,73.76,81.84,94.4,95.0,113.0,134.0,53.8
2.1,180,2,68.33,92.05,74.12,66.94,65.69,92.05,94.0,115.0,135.0,55.19
2.1,240,0,60.7,90.17,73.34,72.46,83.33,90.17,91.0,112.0,134.0,57.59
2.1,240,1,66.08,90.37,84.21,81.93,68.53,90.37,92.0,117.0,128.0,57.63
2.1,240,2,59.64,92.37,73.7,72.48,90.37,92.37,92.0,111.0,135.0,56.52
2.1,300,0,62.73,90.79,68.81,66.13,78.81,90.79,91.0,112.0,137.0,57.78
2.1,300,1,64.92,96.07,74.42,68.77,82.69,96.07,96.0,111.0,137.0,52.71
2.1,300,2,64.99,93.44,75.29,70.47,77.64,93.44,94.0,113.0,135.0,54.83
2.1,360,0,61.96,82.43,76.68,81.12,63.33,82.43,84.0,118.0,129.0,65.58
2.1,360,1,63.36,86.22,75.14,75.04,67.6,86.22,88.0,117.0,132.0,61.39
2.1,360,2,61.95,87.67,76.57,76.63,74.81,87.67,88.0,115.0,131.0,61.01
2.1,480,0,58.92,90.72,69.01,69.13,89.39,90.72,90.0,111.0,136.0,58.56
2.1,480,1,60.94,93.34,76.58,74.07,88.52,93.34,93.0,112.0,134.0,55.61
2.1,480,2,63.22,84.75,71.61,71.29,64.78,84.75,86.0,117.0,133.0,63.36
2.2,0,0,92.22,151.11,131.73,79.68,99.38,151.11,148.0,104.0,132.0,0.0
2.2,0,1,91.91,150.36,127.67,77.92,99.13,150.36,147.0,103.0,134.0,2.45
