ppm,exposure_time_min,replicate,R_demo,G_demo,B_demo,H_demo,S_demo,V_demo,L_demo,a_demo,b_demo,DeltaE_demo,cumulative_exposure_ppm_min
6.2,15,3,59.32,77.35,63.18,132.82,0.2331,0.3034,79.0,118.0,134.0,70.43,93.0
6.2,15,4,61.0,76.44,63.86,131.11,0.202,0.2998,78.0,119.0,134.0,71.62,93.0
6.2,30,1,58.41,69.78,56.61,111.8,0.1888,0.2736,71.0,120.0,134.0,78.67,186.0
6.2,30,2,54.09,68.33,58.48,138.49,0.2084,0.268,70.0,119.0,132.0,79.43,186.0
6.2,30,3,55.31,75.01,58.81,130.67,0.2627,0.2941,76.0,116.0,136.0,73.1,186.0
6.2,30,4,59.58,67.96,57.64,108.7,0.1518,0.2665,70.0,123.0,133.0,80.29,186.0
6.2,45,1,51.94,67.98,52.02,120.27,0.2359,0.2666,68.0,118.0,135.0,81.27,279.0
6.2,45,2,52.7,67.77,58.04,141.28,0.2224,0.2658,69.0,120.0,132.0,80.6,279.0
6.2,45,3,55.89,70.81,54.33,114.33,0.2326,0.2777,71.0,118.0,136.0,78.36,279.0
6.2,45,4,51.84,67.61,54.48,130.06,0.2333,0.2651,68.0,118.0,134.0,81.24,279.0
6.2,60,1,56.69,64.54,54.88,108.73,0.1498,0.2531,67.0,122.0,133.0,82.98,372.0
6.2,60,2,50.35,64.57,53.37,132.75,0.2202,0.2532,65.0,120.0,133.0,84.53,372.0
6.2,60,3,52.35,65.25,50.45,112.3,0.2268,0.2559,66.0,119.0,135.0,83.41,372.0
6.2,60,4,48.47,66.23,54.97,141.95,0.2682,0.2597,67.0,118.0,133.0,82.21,372.0
6.2,90,1,55.32,63.78,50.28,97.58,0.2117,0.2501,65.0,121.0,135.0,84.78,558.0
6.2,90,2,52.64,64.92,50.19,110.02,0.227,0.2546,66.0,119.0,135.0,83.41,558.0
6.2,90,3,52.81,64.52,51.91,115.73,0.1954,0.253,66.0,120.0,134.0,83.57,558.0
6.2,90,4,51.9,67.15,53.2,125.11,0.227,0.2633,68.0,118.0,134.0,81.24,558.0
6.2,120,1,53.28,64.39,51.55,111.94,0.1994,0.2525,66.0,120.0,135.0,83.6,744.0
6.2,120,2,52.64,66.32,48.98,107.32,0.2615,0.2601,67.0,118.0,137.0,82.35,744.0
6.2,120,3,49.8,63.82,52.25,130.47,0.2196,0.2503,64.0,120.0,133.0,85.52,744.0
6.2,120,4,50.52,69.62,50.98,121.42,0.2743,0.273,69.0,116.0,137.0,80.06,744.0
6.2,180,1,52.38,61.2,44.91,92.49,0.2662,0.24,63.0,120.0,138.0,86.7,1116.0
6.2,180,2,52.32,61.86,47.38,99.53,0.234,0.2426,63.0,121.0,135.0,86.74,1116.0
6.2,180,3,50.16,59.57,51.66,129.62,0.158,0.2336,61.0,123.0,132.0,89.05,1116.0
6.2,180,4,48.49,63.05,49.71,124.99,0.2308,0.2473,64.0,118.0,135.0,85.21,1116.0
6.2,240,1,51.71,60.65,48.32,103.5,0.2033,0.2379,62.0,122.0,134.0,87.89,1488.0
6.2,240,2,48.08,62.09,48.26,120.78,0.2256,0.2435,63.0,119.0,135.0,86.37,1488.0
6.2,240,3,45.3,58.49,48.77,135.81,0.2256,0.2294,58.0,120.0,132.0,91.41,1488.0
6.2,240,4,49.28,57.34,45.81,101.94,0.2011,0.2249,58.0,122.0,134.0,91.8,1488.0
6.2,300,1,48.01,59.44,49.46,127.6,0.1923,0.2331,60.0,121.0,133.0,89.63,1860.0
6.2,300,2,50.33,60.57,45.25,100.11,0.2529,0.2375,61.0,120.0,136.0,88.55,1860.0
6.2,300,3,52.43,59.09,47.62,94.85,0.1941,0.2317,61.0,122.0,134.0,88.87,1860.0
6.2,300,4,51.22,59.93,47.18,101.0,0.2127,0.235,61.0,122.0,134.0,88.87,1860.0
6.2,360,1,48.04,56.02,45.05,103.66,0.1959,0.2197,58.0,122.0,134.0,91.8,2232.0
6.2,360,2,49.54,61.67,46.4,107.64,0.2476,0.2418,62.0,120.0,136.0,87.57,2232.0
6.2,360,3,49.77,59.37,49.8,120.21,0.1617,0.2328,61.0,121.0,133.0,88.65,2232.0
6.2,360,4,52.43,58.51,48.87,97.85,0.1648,0.2294,60.0,123.0,133.0,90.03,2232.0
6.2,480,1,49.71,58.05,46.69,104.05,0.1956,0.2276,59.0,121.0,134.0,90.63,2976.0
6.2,480,2,51.9,56.45,51.0,110.14,0.0966,0.2214,58.0,124.0,131.0,92.2,2976.0
6.2,480,3,51.65,56.6,45.47,86.71,0.1965,0.222,58.0,123.0,134.0,92.01,2976.0
6.2,480,4,47.49,59.59,46.79,116.72,0.2148,0.2337,60.0,120.0,134.0,89.47,2976.0
6.3,0,1,90.97,150.31,130.95,160.43,0.3948,0.5894,147.0,104.0,132.0,1.0,0.0
6.3,0,2,94.63,150.1,128.15,156.26,0.3696,0.5886,147.0,104.0,134.0,2.24,0.0
6.3,0,3,89.25,154.95,131.46,158.55,0.424,0.6077,150.0,102.0,134.0,3.46,0.0
6.3,0,4,91.11,150.6,132.89,162.13,0.395,0.5906,147.0,104.0,131.0,1.41,0.0
6.3,1,1,76.84,122.31,104.85,156.96,0.3717,0.4797,121.0,108.0,133.0,27.31,6.3
6.3,1,2,80.25,121.56,106.66,158.37,0.3398,0.4767,121.0,110.0,132.0,27.66,6.3
6.3,1,3,72.61,122.94,101.54,154.49,0.4094,0.4821,121.0,106.0,134.0,27.15,6.3
6.3,1,4,77.23,122.82,104.15,155.43,0.3712,0.4816,121.0,108.0,133.0,27.31,6.3
6.3,2,1,75.41,111.88,88.28,141.17,0.3259,0.4387,111.0,110.0,137.0,37.82,12.6
6.3,2,2,70.55,106.71,93.23,157.63,0.3389,0.4185,107.0,112.0,131.0,41.79,12.6
6.3,2,3,76.29,109.43,92.33,149.03,0.3028,0.4291,110.0,112.0,134.0,38.88,12.6
6.3,2,4,69.24,107.99,92.9,156.64,0.3588,0.4235,107.0,111.0,132.0,41.59,12.6
6.3,5,1,63.94,91.6,80.57,156.07,0.3021,0.3592,92.0,115.0,131.0,57.08,31.5
6.3,5,2,66.37,92.79,80.62,152.36,0.2847,0.3639,94.0,115.0,132.0,55.11,31.5
6.3,5,3,64.17,93.88,76.9,145.71,0.3164,0.3681,94.0,113.0,134.0,54.78,31.5
6.3,5,4,63.44,91.15,74.12,143.11,0.304,0.3575,92.0,114.0,134.0,56.92,31.5
6.3,10,1,60.1,81.93,73.01,155.46,0.2664,0.3213,83.0,118.0,130.0,66.52,63.0
6.3,10,2,63.12,81.06,64.31,123.99,0.2214,0.3179,83.0,117.0,136.0,66.41,63.0
6.3,10,3,61.19,80.4,69.44,145.76,0.239,0.3153,82.0,118.0,132.0,67.47,63.0
6.3,10,4,58.99,84.62,66.34,137.22,0.3029,0.3318,85.0,113.0,136.0,63.77,63.0
6.3,15,1,62.14,76.77,61.05,115.84,0.2048,0.3011,78.0,119.0,135.0,71.65,94.5
6.3,15,2,58.03,72.07,62.77,140.24,0.1948,0.2826,74.0,120.0,132.0,75.71,94.5
6.3,15,3,59.11,79.0,63.94,134.56,0.2517,0.3098,80.0,117.0,134.0,69.26,94.5
6.3,15,4,61.68,78.16,65.88,135.28,0.2108,0.3065,80.0,118.0,133.0,69.43,94.5
6.3,30,1,58.9,65.38,58.81,119.17,0.1004,0.2564,68.0,123.0,132.0,82.23,189.0
6.3,30,2,57.37,71.21,57.4,120.13,0.1943,0.2793,73.0,119.0,135.0,76.54,189.0
6.3,30,3,56.64,71.0,57.65,124.2,0.2023,0.2784,73.0,119.0,135.0,76.54,189.0
6.3,30,4,56.76,71.71,57.4,122.54,0.2084,0.2812,73.0,119.0,135.0,76.54,189.0
6.3,45,1,54.2,70.66,55.57,124.99,0.233,0.2771,71.0,118.0,135.0,78.32,283.5
6.3,45,2,52.95,69.14,56.19,132.03,0.2342,0.2712,70.0,118.0,134.0,79.27,283.5
6.3,45,3,54.94,68.62,55.97,124.54,0.1994,0.2691,70.0,119.0,134.0,79.45,283.5
6.3,45,4,52.18,68.65,53.86,126.12,0.2399,0.2692,69.0,118.0,135.0,80.29,283.5
6.3,60,1,53.21,66.09,58.87,146.35,0.195,0.2592,68.0,121.0,131.0,81.79,378.0
6.3,60,2,55.72,65.92,50.7,100.22,0.2309,0.2585,67.0,120.0,136.0,82.66,378.0
6.3,60,3,55.62,70.28,50.85,105.28,0.2765,0.2756,71.0,117.0,138.0,78.32,378.0
6.3,60,4,56.75,64.27,52.98,99.95,0.1756,0.252,66.0,122.0,134.0,83.98,378.0
6.3,90,1,48.86,60.95,47.71,114.8,0.2172,0.239,61.0,120.0,134.0,88.48,567.0
6.3,90,2,51.54,65.26,51.38,119.32,0.2127,0.2559,66.0,119.0,135.0,83.41,567.0
6.3,90,3,54.75,65.03,48.92,98.28,0.2478,0.255,67.0,120.0,137.0,82.72,567.0
6.3,90,4,52.05,67.66,53.15,124.21,0.2307,0.2653,68.0,118.0,134.0,81.24,567.0
6.3,120,1,54.19,62.08,46.02,89.48,0.2587,0.2435,64.0,121.0,137.0,85.85,756.0
6.3,120,2,51.33,57.86,47.25,96.95,0.1833,0.2269,59.0,124.0,133.0,91.22,756.0
6.3,120,3,50.46,62.52,47.38,107.8,0.2422,0.2452,63.0,120.0,136.0,86.59,756.0
6.3,120,4,51.55,63.53,49.37,110.75,0.2229,0.2491,64.0,120.0,135.0,85.56,756.0
6.3,180,1,53.34,61.72,51.13,107.5,0.1715,0.242,63.0,123.0,133.0,87.1,1134.0
6.3,180,2,52.56,61.18,48.04,99.38,0.2147,0.2399,63.0,122.0,135.0,86.94,1134.0
6.3,180,3,52.1,59.66,49.81,106.0,0.1651,0.234,61.0,123.0,133.0,89.06,1134.0
6.3,180,4,47.96,60.06,52.1,140.51,0.2014,0.2355,61.0,121.0,131.0,88.65,1134.0
6.3,240,1,53.65,65.44,47.18,98.74,0.2789,0.2566,66.0,119.0,137.0,83.51,1512.0
6.3,240,2,51.21,61.82,48.95,109.46,0.2082,0.2424,63.0,121.0,135.0,86.74,1512.0
6.3,240,3,49.52,61.06,43.95,100.45,0.2803,0.2395,62.0,119.0,138.0,87.5,1512.0
6.3,240,4,51.58,58.2,48.71,101.88,0.1629,0.2282,60.0,123.0,133.0,90.03,1512.0
6.3,300,1,50.54,59.88,50.15,117.62,0.1625,0.2348,61.0,122.0,132.0,88.84,1890.0
6.3,300,2,50.04,63.22,46.1,106.2,0.2708,0.2479,64.0,119.0,137.0,85.48,1890.0
6.3,300,3,53.11,62.31,46.89,95.79,0.2475,0.2444,64.0,120.0,137.0,85.66,1890.0
6.3,300,4,50.41,62.91,48.13,110.75,0.235,0.2467,63.0,120.0,135.0,86.54,1890.0
6.3,360,1,49.51,57.73,44.54,97.38,0.2285,0.2264,58.0,122.0,135.0,91.83,2268.0
6.3,360,2,48.37,60.34,48.05,118.45,0.2038,0.2366,61.0,120.0,134.0,88.48,2268.0
6.3,360,3,51.06,60.06,49.85,112.88,0.17,0.2355,62.0,122.0,134.0,87.89,2268.0
6.3,360,4,51.67,62.94,46.62,101.45,0.2592,0.2468,63.0,120.0,136.0,86.59,2268.0
6.3,480,1,48.13,58.24,42.6,98.8,0.2684,0.2284,59.0,120.0,137.0,90.56,3024.0
6.3,480,2,51.19,58.46,44.96,92.33,0.2309,0.2293,60.0,122.0,136.0,89.91,3024.0
6.3,480,3,51.28,58.84,48.22,102.7,0.1804,0.2307,60.0,123.0,133.0,90.03,3024.0
6.3,480,4,50.07,57.07,45.88,97.51,0.1961,0.2238,58.0,123.0,134.0,92.01,3024.0
6.4,0,1,93.24,151.79,128.13,155.76,0.3857,0.5953,148.0,104.0,134.0,2.0,0.0
6.4,0,2,91.9,155.68,134.74,160.31,0.4097,0.6105,151.0,102.0,133.0,3.74,0.0
6.4,0,3,90.21,150.53,136.41,165.95,0.4007,0.5903,148.0,105.0,129.0,3.16,0.0
6.4,0,4,92.32,147.32,130.71,161.89,0.3733,0.5777,145.0,106.0,131.0,3.74,0.0
6.4,1,1,75.61,121.07,105.49,159.44,0.3755,0.4748,120.0,108.0,132.0,28.28,6.4
6.4,1,2,78.96,118.25,105.56,160.63,0.3323,0.4637,119.0,111.0,131.0,29.85,6.4
6.4,1,3,82.64,123.21,101.73,148.23,0.3292,0.4832,123.0,108.0,136.0,25.63,6.4
6.4,1,4,80.01,120.56,104.49,156.23,0.3364,0.4728,120.0,110.0,132.0,28.64,6.4
6.4,2,1,69.68,108.25,91.08,153.28,0.3563,0.4245,108.0,110.0,133.0,40.46,12.8
6.4,2,2,69.84,108.93,93.0,155.55,0.3589,0.4272,108.0,110.0,133.0,40.46,12.8
6.4,2,3,73.98,109.61,91.92,150.21,0.3251,0.4298,109.0,111.0,134.0,39.67,12.8
6.4,2,4,72.57,110.92,92.38,151.0,0.3458,0.435,110.0,110.0,134.0,38.52,12.8
6.4,5,1,65.71,94.48,77.37,144.31,0.3045,0.3705,95.0,113.0,134.0,53.8,32.0
6.4,5,2,64.69,92.55,79.33,151.53,0.3011,0.363,93.0,114.0,132.0,55.9,32.0
6.4,5,3,66.63,92.82,78.12,146.33,0.2822,0.364,94.0,115.0,133.0,55.12,32.0
6.4,5,4,64.28,95.02,77.1,145.02,0.3236,0.3726,96.0,112.0,135.0,52.7,32.0
6.4,10,1,65.03,82.73,69.27,134.39,0.214,0.3244,85.0,118.0,134.0,64.57,64.0
6.4,10,2,60.98,82.75,69.01,142.13,0.263,0.3245,83.0,117.0,133.0,66.29,64.0
6.4,10,3,57.53,81.75,69.05,148.54,0.2963,0.3206,82.0,115.0,132.0,66.91,64.0
6.4,10,4,58.03,83.06,64.48,135.48,0.3014,0.3257,84.0,114.0,136.0,64.9,64.0
6.4,15,1,56.05,75.96,64.81,146.39,0.2622,0.2979,77.0,118.0,132.0,72.37,96.0
6.4,15,2,57.68,76.53,59.95,127.23,0.2463,0.3001,77.0,117.0,136.0,72.29,96.0
6.4,15,3,56.02,76.41,60.5,133.18,0.2669,0.2996,77.0,117.0,135.0,72.24,96.0
6.4,15,4,59.68,77.7,64.61,136.43,0.232,0.3047,79.0,118.0,133.0,70.41,96.0
6.4,30,1,56.33,68.61,58.82,132.15,0.1789,0.2691,70.0,121.0,133.0,79.84,192.0
6.4,30,2,54.94,68.88,55.13,120.78,0.2023,0.2701,70.0,119.0,134.0,79.45,192.0
6.4,30,3,52.69,69.01,56.34,133.4,0.2365,0.2706,70.0,118.0,134.0,79.27,192.0
6.4,30,4,55.22,71.93,53.91,115.63,0.2506,0.2821,72.0,117.0,137.0,77.27,192.0
6.4,45,1,52.42,69.16,54.48,127.36,0.242,0.2712,70.0,118.0,135.0,79.3,288.0
6.4,45,2,54.04,70.29,56.99,130.89,0.2311,0.2756,71.0,118.0,134.0,78.29,288.0
6.4,45,3,50.98,65.73,50.97,119.97,0.2245,0.2578,66.0,118.0,135.0,83.24,288.0
6.4,45,4,53.55,68.37,54.31,123.09,0.2168,0.2681,69.0,119.0,134.0,80.44,288.0
6.4,60,1,55.86,67.26,54.0,111.6,0.1971,0.2638,69.0,120.0,134.0,80.63,384.0
6.4,60,2,53.07,65.66,53.17,120.5,0.1917,0.2575,67.0,120.0,134.0,82.59,384.0
6.4,60,3,53.87,62.35,51.78,108.1,0.1695,0.2445,64.0,121.0,134.0,85.73,384.0
6.4,60,4,55.54,65.75,52.22,105.3,0.2058,0.2578,67.0,121.0,135.0,82.82,384.0
6.4,90,1,56.08,63.55,49.57,92.07,0.2199,0.2492,65.0,122.0,136.0,85.02,576.0
6.4,90,2,50.43,63.65,51.65,125.54,0.2077,0.2496,64.0,120.0,133.0,85.52,576.0
6.4,90,3,53.37,66.28,51.49,112.38,0.2231,0.2599,68.0,119.0,135.0,81.45,576.0
6.4,90,4,54.26,64.57,51.31,106.65,0.2053,0.2532,66.0,121.0,135.0,83.8,576.0
6.4,120,1,50.12,65.22,51.24,124.48,0.2315,0.2557,66.0,119.0,135.0,83.41,768.0
6.4,120,2,51.55,65.82,50.74,116.78,0.2292,0.2581,66.0,119.0,135.0,83.41,768.0
6.4,120,3,55.38,62.23,45.68,84.81,0.2659,0.244,64.0,121.0,138.0,85.91,768.0
6.4,120,4,49.58,64.91,51.81,128.71,0.2361,0.2545,65.0,119.0,134.0,84.37,768.0
6.4,180,1,49.18,59.03,47.76,112.45,0.1909,0.2315,60.0,121.0,134.0,89.65,1152.0
6.4,180,2,50.57,61.11,49.21,113.15,0.1946,0.2396,62.0,121.0,134.0,87.69,1152.0
6.4,180,3,50.33,60.96,50.94,123.45,0.1744,0.2391,61.0,122.0,133.0,88.85,1152.0
6.4,180,4,47.54,63.9,45.25,112.63,0.2919,0.2506,63.0,117.0,137.0,86.13,1152.0
6.4,240,1,52.56,62.06,47.21,98.36,0.2393,0.2434,63.0,120.0,136.0,86.59,1536.0
6.4,240,2,50.42,59.08,51.11,124.81,0.1466,0.2317,61.0,123.0,132.0,89.05,1536.0
6.4,240,3,49.56,59.2,50.26,124.32,0.1629,0.2322,61.0,121.0,132.0,88.65,1536.0
6.4,240,4,52.34,60.14,45.52,91.99,0.2432,0.2359,62.0,121.0,136.0,87.76,1536.0
6.4,300,1,49.18,63.43,45.73,108.32,0.2791,0.2488,64.0,118.0,137.0,85.31,1920.0
6.4,300,2,50.69,60.06,48.25,107.62,0.1966,0.2355,61.0,121.0,134.0,88.67,1920.0
6.4,300,3,51.56,53.76,50.83,105.1,0.0545,0.2108,56.0,126.0,130.0,94.62,1920.0
6.4,300,4,48.96,60.52,49.07,120.57,0.191,0.2373,61.0,121.0,133.0,88.65,1920.0
6.4,360,1,50.99,58.44,47.14,99.56,0.1933,0.2292,60.0,122.0,134.0,89.84,2304.0
6.4,360,2,52.02,58.54,45.92,90.99,0.2156,0.2296,60.0,123.0,135.0,90.08,2304.0
6.4,360,3,49.69,58.23,48.67,113.6,0.1642,0.2284,59.0,122.0,133.0,90.81,2304.0
6.4,360,4,46.98,61.36,47.9,123.84,0.2344,0.2406,61.0,119.0,135.0,88.33,2304.0
6.4,480,1,47.23,57.07,46.33,114.97,0.1882,0.2238,58.0,121.0,133.0,91.6,3072.0
6.4,480,2,53.36,57.46,44.56,79.06,0.2244,0.2253,59.0,124.0,136.0,91.31,3072.0
6.4,480,3,50.19,58.18,46.79,102.07,0.1958,0.2281,59.0,122.0,134.0,90.82,3072.0
6.4,480,4,50.06,56.07,44.24,90.5,0.2111,0.2199,58.0,123.0,135.0,92.03,3072.0
6.5,0,1,95.03,151.63,133.17,160.44,0.3733,0.5946,149.0,105.0,132.0,1.41,0.0
6.5,0,2,95.03,149.1,129.58,158.33,0.3626,0.5847,147.0,106.0,133.0,2.45,0.0
6.5,0,3,93.07,148.42,133.24,163.55,0.3729,0.582,146.0,106.0,130.0,3.46,0.0
6.5,0,4,88.55,149.41,130.64,161.49,0.4073,0.5859,146.0,103.0,132.0,2.24,0.0
6.5,1,1,80.93,125.7,102.23,148.55,0.3561,0.4929,124.0,107.0,136.0,24.52,6.5
6.5,1,2,77.08,119.89,104.32,158.18,0.3571,0.4702,119.0,110.0,132.0,29.61,6.5
6.5,1,3,79.48,120.16,102.62,154.13,0.3386,0.4712,120.0,110.0,133.0,28.65,6.5
6.5,1,4,79.31,121.32,104.4,155.83,0.3463,0.4758,121.0,110.0,133.0,27.68,6.5
6.5,2,1,72.15,110.9,94.43,154.5,0.3494,0.4349,110.0,111.0,133.0,38.65,13.0
6.5,2,2,72.31,106.3,92.48,155.6,0.3197,0.4169,107.0,112.0,132.0,41.77,13.0
6.5,2,3,71.61,109.19,93.18,154.43,0.3442,0.4282,109.0,111.0,133.0,39.64,13.0
6.5,2,4,68.95,109.11,92.79,155.62,0.368,0.4279,109.0,109.0,133.0,39.33,13.0
6.5,5,1,68.03,89.93,75.76,141.19,0.2435,0.3527,91.0,117.0,133.0,58.47,32.5
6.5,5,2,64.09,89.88,75.68,146.96,0.2869,0.3525,91.0,115.0,133.0,58.06,32.5
6.5,5,3,62.68,89.34,75.35,148.52,0.2985,0.3504,90.0,115.0,133.0,59.04,32.5
6.5,5,4,63.85,88.44,72.68,141.54,0.278,0.3468,89.0,115.0,134.0,60.05,32.5
6.5,10,1,56.63,82.48,67.26,144.66,0.3134,0.3235,83.0,115.0,134.0,65.95,65.0
6.5,10,2,59.92,82.55,64.83,133.02,0.2742,0.3237,83.0,115.0,136.0,66.05,65.0
6.5,10,3,57.8,81.2,73.27,159.66,0.2882,0.3184,83.0,117.0,130.0,66.32,65.0
6.5,10,4,61.83,77.23,66.09,136.61,0.1994,0.3029,79.0,119.0,132.0,70.61,65.0
6.5,15,1,61.83,75.99,66.44,139.52,0.1863,0.298,78.0,120.0,132.0,71.81,97.5
6.5,15,2,55.14,76.91,62.51,140.32,0.2831,0.3016,77.0,117.0,134.0,72.21,97.5
6.5,15,3,57.89,74.97,59.65,126.18,0.2278,0.294,76.0,118.0,135.0,73.41,97.5
6.5,15,4,57.24,75.07,60.96,132.5,0.2374,0.2944,77.0,118.0,135.0,72.43,97.5
6.5,30,1,55.96,69.1,54.45,113.83,0.2121,0.271,71.0,119.0,135.0,78.5,195.0
6.5,30,2,56.2,71.55,58.15,127.61,0.2145,0.2806,73.0,119.0,134.0,76.51,195.0
6.5,30,3,52.77,71.27,57.14,134.17,0.2596,0.2795,72.0,117.0,134.0,77.13,195.0
6.5,30,4,55.9,69.14,59.94,138.29,0.1915,0.2711,71.0,120.0,132.0,78.64,195.0
6.5,45,1,50.53,65.99,54.84,136.72,0.2343,0.2588,66.0,119.0,133.0,83.37,292.5
6.5,45,2,53.72,65.79,54.34,123.12,0.1835,0.258,67.0,121.0,133.0,82.77,292.5
6.5,45,3,55.44,63.22,52.32,102.81,0.1724,0.2479,65.0,122.0,133.0,84.94,292.5
6.5,45,4,55.54,66.51,53.22,109.52,0.1999,0.2608,68.0,120.0,134.0,81.61,292.5
6.5,60,1,51.89,68.73,54.0,127.51,0.2449,0.2695,69.0,118.0,134.0,80.26,390.0
6.5,60,2,50.23,66.23,55.95,141.44,0.2416,0.2597,67.0,119.0,133.0,82.38,390.0
6.5,60,3,51.62,70.26,50.09,115.44,0.2871,0.2755,71.0,116.0,138.0,78.16,390.0
6.5,60,4,47.24,66.15,54.56,143.2,0.2858,0.2594,66.0,117.0,133.0,83.03,390.0
6.5,90,1,49.19,62.66,54.38,143.15,0.215,0.2457,63.0,120.0,131.0,86.5,585.0
6.5,90,2,51.39,63.98,50.26,115.06,0.2145,0.2509,64.0,121.0,134.0,85.73,585.0
6.5,90,3,56.92,62.46,50.43,87.63,0.1926,0.2449,65.0,123.0,135.0,85.2,585.0
6.5,90,4,48.57,61.69,51.11,131.62,0.2126,0.2419,62.0,120.0,132.0,87.48,585.0
6.5,120,1,48.36,61.61,48.28,119.63,0.2164,0.2416,62.0,119.0,134.0,87.32,780.0
6.5,120,2,52.74,60.66,51.59,112.41,0.1495,0.2379,62.0,122.0,132.0,87.86,780.0
6.5,120,3,50.66,65.0,49.89,116.97,0.2325,0.2549,66.0,118.0,136.0,83.28,780.0
6.5,120,4,53.54,58.78,51.14,101.17,0.13,0.2305,61.0,124.0,132.0,89.27,780.0
6.5,180,1,55.03,60.96,48.29,88.07,0.2079,0.2391,63.0,123.0,135.0,87.15,1170.0
6.5,180,2,48.28,60.94,49.64,126.43,0.2077,0.239,61.0,121.0,133.0,88.65,1170.0
6.5,180,3,49.98,63.25,45.98,106.1,0.2731,0.2481,64.0,118.0,137.0,85.31,1170.0
6.5,180,4,50.05,59.42,47.33,106.52,0.2034,0.233,61.0,121.0,134.0,88.67,1170.0
6.5,240,1,48.42,59.95,49.32,124.65,0.1922,0.2351,60.0,121.0,133.0,89.63,1560.0
6.5,240,2,50.62,59.99,49.47,113.45,0.1754,0.2353,61.0,122.0,133.0,88.85,1560.0
6.5,240,3,52.73,57.89,46.01,86.04,0.2053,0.227,59.0,124.0,134.0,91.24,1560.0
6.5,240,4,54.04,57.79,45.77,78.71,0.2081,0.2266,59.0,124.0,135.0,91.27,1560.0
6.5,300,1,48.79,57.69,49.04,121.71,0.1543,0.2262,58.0,122.0,132.0,91.78,1950.0
6.5,300,2,49.02,61.66,44.84,105.07,0.2728,0.2418,62.0,119.0,137.0,87.44,1950.0
6.5,300,3,52.88,54.9,47.31,76.01,0.1383,0.2153,57.0,126.0,132.0,93.62,1950.0
6.5,300,4,47.67,51.37,48.97,141.12,0.0719,0.2014,53.0,126.0,129.0,97.56,1950.0
6.5,360,1,51.32,55.72,44.86,84.3,0.1948,0.2185,57.0,124.0,135.0,93.22,2340.0
6.5,360,2,51.98,60.19,47.1,97.64,0.2175,0.2361,61.0,122.0,135.0,88.89,2340.0
6.5,360,3,48.64,61.01,48.24,118.09,0.2094,0.2393,62.0,119.0,134.0,87.32,2340.0
6.5,360,4,50.23,64.33,46.18,106.61,0.2821,0.2523,65.0,118.0,137.0,84.32,2340.0
6.5,480,1,50.32,58.46,50.76,123.27,0.1393,0.2293,60.0,123.0,132.0,90.03,3120.0
6.5,480,2,48.49,58.89,43.24,99.85,0.2659,0.231,59.0,120.0,136.0,90.52,3120.0
6.5,480,3,48.47,58.03,47.37,113.79,0.1837,0.2276,59.0,121.0,133.0,90.61,3120.0
6.5,480,4,54.22,60.49,46.13,86.2,0.2374,0.2372,62.0,122.0,136.0,87.95,3120.0
6.6,0,1,90.83,152.21,129.5,157.8,0.4033,0.5969,149.0,103.0,134.0,2.45,0.0
6.6,0,2,92.15,153.56,131.46,158.4,0.3999,0.6022,150.0,103.0,133.0,2.45,0.0
6.6,0,3,90.42,153.73,134.67,161.94,0.4118,0.6029,150.0,103.0,132.0,2.24,0.0
6.6,0,4,92.49,147.54,132.73,163.86,0.3731,0.5786,145.0,106.0,130.0,4.12,0.0
6.6,1,1,77.19,119.73,106.77,161.73,0.3553,0.4695,119.0,110.0,131.0,29.63,6.6
6.6,1,2,79.82,119.17,102.79,155.02,0.3302,0.4673,119.0,110.0,133.0,29.63,6.6
6.6,1,3,76.98,122.53,104.48,156.23,0.3718,0.4805,121.0,108.0,133.0,27.31,6.6
6.6,1,4,77.22,121.77,102.31,153.79,0.3658,0.4775,121.0,108.0,134.0,27.37,6.6
6.6,2,1,71.05,106.48,89.22,150.77,0.3327,0.4176,107.0,111.0,133.0,41.61,13.2
6.6,2,2,71.64,105.59,90.55,153.42,0.3215,0.4141,106.0,112.0,132.0,42.76,13.2
6.6,2,3,71.73,107.47,93.61,156.73,0.3326,0.4215,108.0,112.0,132.0,40.79,13.2
6.6,2,4,72.27,105.03,91.45,155.14,0.3119,0.4119,106.0,113.0,132.0,42.95,13.2
6.6,5,1,63.12,93.56,75.52,144.45,0.3254,0.3669,94.0,113.0,135.0,54.83,33.0
6.6,5,2,64.45,88.65,78.27,154.27,0.273,0.3476,90.0,117.0,131.0,59.45,33.0
6.6,5,3,67.0,91.01,75.93,142.32,0.2638,0.3569,92.0,115.0,134.0,57.11,33.0
6.6,5,4,64.03,94.54,78.01,147.5,0.3227,0.3707,95.0,113.0,134.0,53.8,33.0
6.6,10,1,58.13,79.48,67.53,146.43,0.2686,0.3117,81.0,117.0,133.0,68.26,66.0
6.6,10,2,57.59,79.24,63.6,136.65,0.2732,0.3108,80.0,115.0,135.0,68.95,66.0
6.6,10,3,58.46,81.67,69.56,148.69,0.2842,0.3203,82.0,116.0,132.0,67.08,66.0
6.6,10,4,57.42,77.02,66.46,147.69,0.2545,0.302,79.0,117.0,132.0,70.21,66.0
6.6,15,1,56.2,77.05,58.79,127.46,0.2705,0.3021,78.0,116.0,137.0,71.2,99.0
6.6,15,2,55.11,74.14,64.85,150.7,0.2566,0.2907,76.0,118.0,132.0,73.35,99.0
6.6,15,3,60.8,73.16,62.06,126.08,0.1688,0.2869,76.0,120.0,133.0,73.76,99.0
